date,evenement,startDate,endDate
838,Louis le Pieux donne le comté de Paris à son fils Charles le Chauve.,838.0,838.0
20 juin 840,Mort de Louis le Pieux.,840.0,840.0
Septembre 841,Débordement de la Seine.,841.0,841.0
Octobre 841,Conflit à Paris entre Charles le Chauve et son frère Lothaire.,841.0,841.0
13 août 843,Le traité de Verdun donne le Parisis à Charles le Chauve.,843.0,843.0
Mars 845,Les Normands pillent Paris.,845.0,845.0
Avril 845,Charles le Chauve obtient leur départ pour 7 000 livres.,845.0,845.0
Février 846,8e Concile de Paris.,846.0,846.0
851,9e Concile de Paris.,851.0,851.0
28 décembre 856,Retour des Normands qui incendient Paris.,856.0,856.0
Vers 856-857,Charles le Chauve fait construire un nouveau pont au nord du Palais.,856.0,857.0
857,Plusieurs basiliques et églises de Paris sont incendiées par les Normands.,857.0,857.0
Janvier 861,L'église St-Germain-des-Prés est incendiée par les Normands et le Grand Pont détruit.,861.0,861.0
25 juin 864,L'édit de Pitres confirme Paris comme atelier monétaire.,864.0,864.0
22 avril 867,Charles le Chauve restitue l'île Notre-Dame à l'évêque de Paris.,867.0,867.0
869,Retour des Normands qui pillent le monastère Saint-Germain-des-Prés.,869.0,869.0
871,Ingelvin [ou Engelvin] est évêque de Paris.,871.0,871.0
12 mai 872,Charles le Chauve donne l'abbaye Saint-Éloi à l'Église de Paris.,872.0,872.0
877,Mort de Charles le Chauve ; son fils Louis [le Bègue] lui succède.,877.0,877.0
Entre 877 et 885,Fortification du nouveau Grand-Pont et du Petit-Pont avec adjonction de tours.,885.0,885.0
10 avril 879,Mort de Louis le Bègue ; son fils Louis [III] lui succède.,879.0,879.0
5 août 882,Mort de Louis III ; son frère Carloman lui succède.,882.0,882.0
882-883,Eudes devient comte de Paris.,882.0,883.0
8 décembre 883,"Mort d'Engelvin, évêque de Paris.",883.0,883.0
Fin 883,Gozlin est élu évêque de Paris.,883.0,883.0
29 août 884,Les reliques de saint Merry sont mises à l'abri dans l'église Saint-Merry.,884.0,884.0
24 novembre 885,Les Normands arrivent devant Paris ; les Parisiens se replient derrière leurs murs.,885.0,885.0
25 novembre 885,L'évêque Gozlin refuse de laisser passer les Normands.,885.0,885.0
Hiver 885-886,Les Normands maintiennent le siège de Paris. Les attaques sont nombreuses.,885.0,886.0
6 février 886,La crue fait tomber le Petit-Pont et les défenseurs de la tour sud sont massacrés.,886.0,886.0
Mars 886,"Le comte Henri, duc d'Austrasie vient à  l'aide de Paris.",886.0,886.0
Fin mars 886,Les Normands s'installent autour de Saint-Germain-des-Prés.,886.0,886.0
16 avril 886,"Mort de l'évêque Gozlin, touché par l'épidémie qui sévit dans la Cité.",886.0,886.0
Mai-juin 886,Eudes va chercher du secours et laisse le commandement à Ebles.,886.0,886.0
Été 886,Anschéric succède à Gozlin comme évêque de Paris.,886.0,886.0
Août 886,Le comte Henri est tué par les Normands. Nouvel assaut général des envahisseurs.,886.0,886.0
Septembre 886,L'empereur Charles III le Gros négocie avec les Normands leur départ vers Sens.,886.0,886.0
Mai 887,Les Normands reviennent à Paris. Ils reçoivent 700 livres pour leur départ.,887.0,887.0
29 février 888,"Eudes, défenseur victorieux de Paris,  est élu roi de France à Compiègne.",888.0,888.0
889,Les Normands menacent à nouveau Paris. Eudes paye pour leur départ.,889.0,889.0
890,Les reliques de saint Germain reviennent à Saint-Germain-des-Prés.,890.0,890.0
2 octobre 892,"Mort d'Ebles, abbé de Saint-Germain-des-Prés.",892.0,892.0
898,Les reliques de saint Leufroy sont mises à l'abri à Paris.,898.0,898.0
16 septembre 909,Le roi Charles III transfère au chapitre Notre-Dame la propriété du Grand Pont.,909.0,909.0
19 septembre 909,"Mort d'Achery [Anskerick], évêque de Paris.",909.0,909.0
911,Le traité de Saint-Clair-sur-Epte limite les incursions des Normands.,911.0,911.0
911,"Thiou, nommé évêque de Paris, fait clore de murs le cloître de la cathédrale.",911.0,911.0
922,Fulrade est évêque de Paris.,922.0,922.0
925,Les Parisiens entreprennent une expédition punitive contre les Normands.,925.0,925.0
927,Adelhelme est évêque de Paris.,927.0,927.0
936,Hugues le Grand et le roi Louis IV d'Outremer viennent à Paris.,936.0,936.0
937,Gauthier est évêque de Paris.,937.0,937.0
26 décembre 940,"Hugues, duc de France, feudataire de Paris, tient une grande assemblée judiciaire.",940.0,940.0
Été 943,Le roi Louis IV réside à Paris à l'invitation d'Hugues le Grand. Il y tombe malade.,943.0,943.0
944,Paris est ravagé par le « mal des ardents » [ergotisme].,944.0,944.0
944,Un ouragan détruit l'église de Montmartre et plusieurs autres édifices.,944.0,944.0
946,Conflit entre Hugues et le futur empereur Othon qui tente de s'approcher de Paris.,946.0,946.0
15 avril 955,"Hugues le Grand reçoit fastueusement Lothaire, fils du défunt roi Louis IV.",955.0,955.0
16 ou 17 juin 956,Mort de Hugues le Grand ; Hugues Capet lui succède comme duc de France.,956.0,956.0
963 ou 965,Arrivée des reliques de saint Magloire qui sont mises à l'abri dans la Cité.,965.0,965.0
Entre 965 et 975,Fondation de l'abbaye Saint-Barthélemy et Saint-Magloire.,975.0,975.0
975,Hugues Capet réunit la Cour pour prendre acte d'un don du chevalier Alleaume.,975.0,975.0
Oct.-nov. 978,L'empereur Othon II et son armée menacent Paris sans oser l'attaquer.,978.0,978.0
979,Rainald [ou Renaud] est évêque de Paris.,979.0,979.0
979,"Mort de Galon, abbé de Saint-Germain-des-Prés.",979.0,979.0
987,Eliziard [ou Lisiard] est évêque de Paris.,987.0,987.0
3 juillet 987,Hugues Capet est élu roi de France à Noyon.,987.0,987.0
989,Hugues Capet réside à Paris plusieurs mois d'affilée.,989.0,989.0
Après 990,L'abbé Morard fait reconstruire le clocher-porche de l'église St-Germain-des-Prés.,990.0,990.0
991,Renaud de Vendôme succède à Lisiard comme évêque de Paris.,991.0,991.0
994,Les moines de Marmoutier prennent possession de l'église Notre-Dame-des-Champs.,994.0,994.0
995,Hugues Capet vient à Saint-Denis pour un synode relatif à la dîme ecclésiastique.,995.0,995.0
24 octobre 996,"Mort de Hugues Capet ; son fils Robert [le Pieux], déjà roi, lui succède.",996.0,996.0
Avril 997,Le roi Robert le Pieux est présent à Paris.,997.0,997.0
Après 997,Robert le Pieux fait reconstruire la palais de la Cité.,997.0,997.0
Octobre 999,Le roi Robert le Pieux séjourne à Paris.,999.0,999.0
1006,Hucbald de Liège vient pour trois mois enseigner à Sainte-Geneviève.,1006.0,1006.0
1014,Mort de l'abbé Morard qui avait entrepris la restauration de Saint-Germain-des-Prés.,1014.0,1014.0
1016 ou 1017,Ascelin [ou Azelin] succède à Renaud comme évêque de Paris.,1017.0,1017.0
1019,"Francon, doyen du chapitre Notre-Dame remplace Ascelin comme évêque de Paris.",1019.0,1019.0
Vers 1020,Fin de la reconstruction de l'église de l'abbaye Saint-Germain-des-Prés.,1020.0,1020.0
Vers 1020,Robert le Pieux dote l'église Sainte-Geneviève d'un chapitre.,1020.0,1020.0
1021,"Mort de Ingon, doyen des chanoines de Sainte-Geneviève.",1021.0,1021.0
1025,"Mort de Ingon, abbé de Saint-Germain-des-Prés.",1025.0,1025.0
1025,Guillaume de Volpiano succède à l'abbé Ingon à Saint-Germain-des-Prés.,1025.0,1025.0
Fin 1027-début 1028,Robert le Pieux séjourne à Paris.,1028.0,1028.0
1030,Adraud est maintenant abbé de Saint-Germain-des-Prés.,1030.0,1030.0
1030,Imbert de Vergy est élu évêque de Paris.,1030.0,1030.0
1031,Mort de Robert le Pieux ; Henri Ier lui succède.,1031.0,1031.0
1035,Henri 1er prend l'abbaye Sainte-Geneviève sous sa protection.,1035.0,1035.0
1039,Début de la reconstruction de l'église de Saint-Martin-des-Champs.,1039.0,1039.0
1040,"Mort de l'archidiacre Albert, illustre maître des écoles du cloître Notre-Dame.",1040.0,1040.0
1050,Synode réuni pour juger les doctrines hétérodoxes de Bérenger de Tours.,1050.0,1050.0
Vers 1045,Le roi Henri 1er donne à l'évêque quatre églises de la rive gauche.,1045.0,1045.0
Octobre 1051,Ouverture d'un synode pour condamner Bérenger de Tours et ses disciples.,1051.0,1051.0
1059-1060,Henri 1er fait restaurer l'abbaye Saint-Martin-des-Champs et y installe des chanoines.,1059.0,1060.0
Août 1060,On apprend la mort du roi Henri Ier. Philippe Ier lui succède.,1060.0,1060.0
22 novembre 1060,"Mort de Imbert de Vergy, évêque de Paris.",1060.0,1060.0
1061,Geoffroy de Boulogne lui succède comme évêque de Paris.,1061.0,1061.0
1067,Philippe 1er dédicace l'église de Saint-Martin-des-Champs.,1067.0,1067.0
1074,Concile de Paris : débats au sujet des prêtres concubinaires.,1074.0,1074.0
1075,L'évêque Geoffroy est nommé chancelier par le roi.,1075.0,1075.0
1079,Philippe 1er transforme l'abbaye Saint-Martin-des-Champs en prieuré clunisien.,1079.0,1079.0
1081,"Mort de Dreu de Paris, comte de Pouille.",1081.0,1081.0
1082,"Le célèbre ermite breton Robert d'Arbrissel, vient étudier à Paris.",1082.0,1082.0
Vers 1085,Construction de la tour-clocher de l'église de Saint-Martin-des-Champs.,1085.0,1085.0
Vers 1090,Reconstruction de l'abbatiale de Sainte-Geneviève.,1090.0,1090.0
1er mai 1095,"Mort de Geoffroy de Boulogne, évêque de Paris.",1095.0,1095.0
1096,Saint-Martin-des-Champs reçoit en don l'église de Montmartre.,1096.0,1096.0
Septembre 1096,Guillaume de Montfort est évêque de Paris.,1096.0,1096.0
Vers 1100,Pierre Abélard vient de Nantes étudier à Paris.,1100.0,1100.0
Fin août 1102,"On apprend la mort en terre sainte de Guillaume de Montfort, évêque de Paris.",1102.0,1102.0
1103,Guillaume de Champeaux est nommé écolâtre de l'École Notre-Dame.,1103.0,1103.0
8 avril 1104,"Mort de Foulques, évêque de Paris depuis moins de deux ans.",1104.0,1104.0
Début juin 1104,Le pape impose Galon comme évêque de Paris.,1104.0,1104.0
2 décembre 1104,Synode pour l'absolution du roi et de Bertrade après la fin de leurs relations adultères.,1104.0,1104.0
1er avril 1107,Le pape soustrait l'abbaye de Saint-Germain-des-Prés de la juridiction  de l'évêque.,1107.0,1107.0
1107,"L'évêque Galon, sous prétexte de désordres, dissout la communauté de Saint-Eloi.",1107.0,1107.0
1107,Saint-Eloi devient un prieuré de douze moines dépendant de l'abbaye des Fossés.,1107.0,1107.0
Entre 1107 et 1114,Percement de la rue de la Barillerie devant le Palais [Boulevard du Palais].,1114.0,1114.0
29 juillet 1108,Mort de Philippe 1er ; Louis VI lui succède.,1108.0,1108.0
1108,"Guillaume de Champeaux se retire près de la chapelle Saint-Victor, près de la Bièvre.",1108.0,1108.0
1er août 1109,"L'évêque Galon reçoit un morceau de la Vraie Croix, qu'il dépose à Notre-Dame.",1109.0,1109.0
1109,Les abbés de Sainte-Geneviève deviennent seigneurs d'Auteuil.,1109.0,1109.0
Février 1110,Louis VI émet une charte en faveur des serfs de Saint-Martin-des-Champs.,1110.0,1110.0
1110,Louis VI permet la création de la foire Saint-Lazare.,1110.0,1110.0
1110,Le roi restreint les droits de voirie que l'évêque perçoit sur une partie de ses terres.,1110.0,1110.0
Vers 1110,L'église Saint-Jacques [rive droite] est cédée par l'évêque à Saint-Martin-des-Champs.,1110.0,1110.0
12 mars 1111,Les hommes de Robert III de Meulan pillent le palais et détruisent les ponts de la Cité,1111.0,1111.0
Vers 1111,Dédicace de la nouvelle église de Saint-Martin-des-Champs.,1111.0,1111.0
1112,Le roi fait construire une grosse tour pour sécuriser son palais.,1112.0,1112.0
1112-1113,Construction du nouveau Grand-Pont [Pont au Change] en aval du précédent.,1112.0,1113.0
1113,La communauté des chanoines de Saint-Victor est érigée en abbaye.,1113.0,1113.0
1113,"Abélard revient enseigner à Paris. Il est logé chez le chanoine Fulbert, oncle d'Héloïse",1113.0,1113.0
23 février 1116,"Mort de Galon, évêque de Paris. Guibert lui succède.",1116.0,1116.0
Hiver 1116,Inondations à Paris.,1116.0,1116.0
Vers 1116,Etienne de Garlande fait construire la chapelle Saint-Aignan dans l'Ile de la Cité.,1116.0,1116.0
1120,Le cloître de Notre-Dame est agrandi.,1120.0,1120.0
1121,Louis VI cède aux marchands de l'eau le droit qu'il percevait sur chaque bateau de vin,1121.0,1121.0
1123,Louis VI fonde une rente pour l'entretien de la toiture de la cathédrale Notre-Dame.,1123.0,1123.0
29 janvier 1124,"Mort de Guibert, évêque de Paris. Etienne de Senlis lui succède.",1124.0,1124.0
1124,Le roi Louis VI rend aux moines de Saint-Denis les profits de la foire du Lendit.,1124.0,1124.0
Hiver 1125,Pluies et neige abondantes. Inondation exceptionnelle. Grande mortalité.,1125.0,1125.0
1128,Grave conflit entre le roi et l'évêque au sujet d'une prébende accordée à Saint-Victor.,1128.0,1128.0
1128,L'évêque Etienne de Senlis doit quitter Paris.,1128.0,1128.0
1130,Hugues devient prieur de Saint-Martin-des-Champs.,1130.0,1130.0
26 novembre 1130,"Guérison miraculeuse de cent personnes atteintes du ""mal des ardents"".",1130.0,1130.0
1131,Etienne de Senlis revient à Paris pour négocier sa réconciliation avec le roi.,1131.0,1131.0
1131,Le roi autorise les moines de la léproserie Saint-Lazare à tenir une foire annuelle.,1131.0,1131.0
13 octobre 1131,"Un cochon fait tomber de cheval le fils aîné du roi Louis VI, Philippe, qui se tue.",1131.0,1131.0
20 août 1133,"Thomas, prieur de Saint-Victor, est assassiné sur la route de Chelles.",1133.0,1133.0
20 août 1133,"Etienne de Senlis, qu'accompagnait Thomas, doit se réfugier à Clairvaux.",1133.0,1133.0
Fin août 1133,"Hugues, qui enseigne depuis 1125 à l'abbaye Saint-Victor, succède à Thomas.",1133.0,1133.0
1133,Fondation de l'abbaye bénédictine des Dames de Montmartre.,1133.0,1133.0
1134,Le roi autorise les bourgeois de Paris à saisir eux-mêmes les biens de leurs débiteurs.,1134.0,1134.0
1134,Le roi autorise le chapitre de Notre-Dame à arracher les vignes du clos Garlande.,1134.0,1134.0
1134,Le roi Louis VI donne à l'abbaye de Montmartre la maison de Guerry le Changeur.,1134.0,1134.0
Novembre 1134,L'évêque Etienne regagne Paris après la condamnation des meurtriers de Thomas.,1134.0,1134.0
Vers 1135,Le chour de Saint-Martin-des-Champs est achevé.,1135.0,1135.0
1136,"Abélard reprend son enseignement à la chapelle Saint-Hilaire, près de Saint-Marcel.",1136.0,1136.0
1137,Accord entre le roi et l'évêque sur le partage des droits relatifs aux Champeaux.,1137.0,1137.0
1137,Innocent III autorise l'évêque de Paris à s'entourer de clercs attachés à sa personne.,1137.0,1137.0
1er août 1137,Mort de Louis VI au Palais ; son fils Louis [VII] lui succède.,1137.0,1137.0
Fin 1137,Des merciers et des changeurs s'installent dans le marché Neuf des Champeaux.,1137.0,1137.0
1138,Les moines de Saint-Magloire quittent la Cité et installent leur prieuré rue Saint-Denis,1138.0,1138.0
1138,Le roi fixe à huit jours la durée de la foire Saint-Lazare.,1138.0,1138.0
Juillet 1140,"Après la condamnation de ses thèses, Abélard doit quitter Paris et se retire à Cluny.",1140.0,1140.0
Fin 1140,Pierre Lombard enseigne à l'école Notre-Dame.,1140.0,1140.0
11 février 1141,Mort du philosophe et théologien Hugues de Saint-Victor.,1141.0,1141.0
1141,Louis VII interdit aux changeurs d'exercer ailleurs que sur le Grand Pont.,1141.0,1141.0
1141,"Le roi cède aux marchands de l'eau la place de Grève, alors vide de toute construction.",1141.0,1141.0
6 mai 1142,Mort d'Etienne de Senlis. Le conflit entre roi et pape interdit une nouvelle élection.,1142.0,1142.0
1144,"Thibaud, prieur de Saint-Martin-des-Champs, est élu évêque de Paris.",1144.0,1144.0
1147,Le roi et le pape Eugène III assistent à une assemblée solennelle des Templiers.,1147.0,1147.0
1147,Une rixe éclate dans l'abbaye Sainte-Geneviève en présence du pape et du roi.,1147.0,1147.0
1148,L'abbé de Sainte-Geneviève autorise les moines de Saint-Victor à dériver la Bièvre.,1148.0,1148.0
24 août 1148,"Eudes, prieur de Saint-Victor, est choisi comme abbé de Sainte-Geneviève.",1148.0,1148.0
Fin 1148,Douze chanoines de Saint-Victor tiendront désormais l'abbaye Sainte-Geneviève.,1148.0,1148.0
21 ou 22 avril 1147,Consécration de l'église Saint-Pierre de Montmartre par le pape Eugène III.,1147.0,1147.0
1er juin 1147,Eugène III consacre l'autel majeur de la chapelle du Martyrium de Montmartre.,1147.0,1147.0
14 janvier 1150,"Mort d'Etienne de Garlande, ancien sénéchal de France.",1150.0,1150.0
1152,"Les templiers achètent une maison rue des Barres, derrière Saint-Gervais.",1152.0,1152.0
1154,"Après la guérison miraculeuse d'un boiteux, le roi fait un don à Sainte-Opportune.",1154.0,1154.0
1154,Louis VII fonde la chapelle de la Vierge au palais de l'Ile de la Cité.,1154.0,1154.0
1154,Les chanoines de Sainte-Opportune vont assainir les marais au nord de Paris.,1154.0,1154.0
18 novembre 1154,"La reine Adélaïde, veuve de Louis VI, meurt en l'abbaye de Montmartre.",1154.0,1154.0
1155,"Mort de Gilduin, abbé de Saint-Victor. Achard va lui succéder.",1155.0,1155.0
8 janvier 1159,"Mort de Thibaud, évêque de Paris.",1159.0,1159.0
Printemps 1159,"L'archidiacre Philippe, frère du roi, est élu mais refuse la charge d'évêque.",1159.0,1159.0
28 juin 1159,Pierre Lombard est consacré évêque de Paris.,1159.0,1159.0
13 novembre 1160,"Adèle de Champagne est sacrée reine de France, le jour même de son mariage.",1160.0,1160.0
22 juillet 1160,Mort de l'évêque Pierre Lombard.,1160.0,1160.0
12 octobre 1160,Maurice de Sully est élu évêque de Paris.,1160.0,1160.0
1162,Louis VII confirme les coutumes de la corporation des bouchers de Paris.,1162.0,1162.0
1163,Dédicace de l'église de Saint-Martin-des-Champs reconstruite.,1163.0,1163.0
1163,Eudes renonce à exercer l'abbatiat de Sainte-Geneviève et retourne à Saint-Victor.,1163.0,1163.0
Printemps 1163,Pose de la première pierre de la nouvelle cathédrale Notre-Dame par Alexandre III.,1163.0,1163.0
21 avril 1163,Le pape exclut l'évêque de Paris de la consécration de l'abbatiale de Saint-Germain.,1163.0,1163.0
21 avril 1163,Alexandre III consacre le nouveau chour de l'abbatiale de Saint-Germain-des-Prés.,1163.0,1163.0
Début 1164,Percement de la rue Neuve pour faciliter l'accès au chantier de la cathédrale.,1164.0,1164.0
1164,Début de la reconstruction de l'Hôtel-Dieu au sud du parvis Notre-Dame.,1164.0,1164.0
1164,Le théologien Pierre le Mangeur est nommé chancelier du chapitre de Notre-Dame.,1164.0,1164.0
1165,Le roi défend à ses gens d'emporter les meubles des maisons de Paris où il ira loger.,1165.0,1165.0
20 avril 1165 ,Le pape reconnaît à l'évêque la propriété des marais à l'ouest de la rue Saint-Denis.,,
22 août 1165,"Naissance de Philippe Dieudonné [Auguste], fils du roi Louis VII.",1165.0,1165.0
1166,Louis VII porte à quinze jours la durée de la foire Saint-Lazare.,1166.0,1166.0
1169,Pierre de Poitiers va enseigner la théologie à l'École Notre-Dame.,1169.0,1169.0
1170,Louis VII confirme aux marchands de l'eau les anciennes coutumes de la Hanse.,1170.0,1170.0
1170,Pierre le Mangeur devient chanoine régulier de Saint-Victor.,1170.0,1170.0
1170,Début de la construction de l'église Saint-Julien-le-Pauvre.,1170.0,1170.0
1171,Fondation de l'hôpital Saint-Gervais à la porte Baudoyer.,1171.0,1171.0
1173,"Pierre le Mangeur, chanoine de Saint-Victor, achève son ouvre, l'Historia Scholastica",1173.0,1173.0
10 mars 1173,Mort du théologien Richard de Saint-Victor.,1173.0,1173.0
Novembre 1175,Pluies diluviennes et inondations.,1175.0,1175.0
1176,Étienne de Tournai est abbé de Sainte-Geneviève.,1176.0,1176.0
1176,"Louis VII, offrant sa protection, obtient la moitié des profits de la foire Saint-Germain",1176.0,1176.0
1177,Achèvement du chour de Notre-Dame (sauf les voûtes).,1177.0,1177.0
1179,Assemblée des prélats au palais épiscopal pour l'accession au trône de Philippe.,1179.0,1179.0
1179,L'abbé de Saint-Germain-des-Prés aliène le clos de Laas en vue de son lotissement.,1179.0,1179.0
12 octobre 1179,"Mort du grand érudit Pierre le Mangeur, à Saint-Victor.",1179.0,1179.0
1180,"Josse de Londres fonde un collège pour dix-huit clercs, attenant à l'Hôtel-Dieu.",1180.0,1180.0
16 février 1180,Le roi Philippe [Auguste] fait saisir les biens des Juifs dans toute la France.,1180.0,1180.0
18 septembre 1180,Mort à Paris du roi Louis VII.,1180.0,1180.0
1181,Philippe Auguste rachète la foire Saint-Lazare et la transfère aux Champeaux.,1181.0,1181.0
Mars-juillet 1182,Bannissement et expulsion des Juifs hors du royaume de France.,1182.0,1182.0
19 mai 1182,Consécration du maître-autel de Notre-Dame.,1182.0,1182.0
1183,Création de la foire Saint-Laurent par les religieux de Saint-Lazare.,1183.0,1183.0
1183,Construction aux Champeaux de deux bâtiments clos appelés les Halles.,1183.0,1183.0
Septembre 1183,La synagogue de la Cité devient église Sainte-Madeleine.,1183.0,1183.0
fin 1183,42 maisons juives sont données aux drapiers et aux pelletiers de Paris.,1183.0,1183.0
1184,Saint-Nicolas-des-Champs devient église paroissiale.,1184.0,1184.0
16 janvier 1185,Arrivée des maîtres de l'Hôpital et du Temple pour prêcher la nouvelle croisade.,1185.0,1185.0
1185,Construction des premiers arcs-boutants à la nef de Notre-Dame.,1185.0,1185.0
1185,"Concile des archevêques, évêques et princes du royaume en vue de la croisade.",1185.0,1185.0
1186,Le roi ordonne au prévôt et aux bourgeois de paver les rues principales de Paris.,1186.0,1186.0
19 août 1186,"Geoffroi, comte de Bretagne, fils du roi Henry II, meurt à Paris lors d'un tournoi.",1186.0,1186.0
1186-1187,Le roi fait entourer le cimetière des Champeaux d'un mur avec plusieurs portes.,1186.0,1187.0
