evenement,startyear,endyear,commentaire
Novembre 397. « été de Saint-Martin » du 8 au 11 novembre : « les roses refleurissent ».,397.00,397.00,
"Geneviève de Paris exhorte les habitants à ne pas fuir face à l'approche des Huns d'Attila (qui se dirigera finalement vers Orléans). Ses mots restent célèbres : « Que les hommes fuient, s’ils veulent, s’ils ne sont plus capables de se battre. Nous les femmes, nous prierons Dieu tant et tant qu’Il entendra nos supplications ». Elle devient le personnage le plus en vue de la cité.",,,
"Blocus de Paris par le roi franc Childéric Ier, qui chasse les Romains de Paris.",464.00,465.00,
Construction d’une basilique à l’emplacement du tombeau de saint Denis.,475.00,475.00,
"Sainte Geneviève négocie avec Clovis la soumission de Paris à son autorité. Clovis vient de remporter une victoire décisive sur le romain Syagrius, mais sainte Geneviève lui interdit toute entrée à Paris. Il assiège la ville où une famine se déclare. Sainte Geneviève organise le ravitaillement, et Clovis lève le siège. Cette situation tendue entre Paris et Clovis perdure pendant dix ans. Paris est alors un îlot nicéen au milieu d’un océan dominé par l’arianisme, et sainte Geneviève ne veut pas couper définitivement les ponts avec Clovis, roi païen et pas arianiste comme tous les autres rois barbares. La défaite de Syagrius, « le dernier des Romains », marque la césure parisienne entre l'Antiquité et le Moyen Âge, ou plutôt l'Antiquité tardive.",486.00,486.00,
"Clovis se laisse progressivement convaincre par son entourage catholique de se convertir. Les avantages politiques apparaissent en effet évidents, car de nombreuses cités restées farouchement catholiques, comme Paris, appellent de leurs vœux un roi catholique. Premier signe de cette conversion progressive, le baptême de son fils. Hélas, ce dernier meurt peu après le sacrement, déclenchant une colère noire de Clovis qui assiège alors Paris. Sainte Geneviève organise le ravitaillement de la ville. Clovis lève le siège.",494.00,494.00,
La conversion de Clovis au catholicisme à Reims est accueillie par la liesse à Paris qui ouvre désormais en grand ses portes aux Francs convertis. La reconquête face aux hérétiques ariens peut commencer. Clovis est en effet le seul monarque catholique en exercice ; la France hérite du surnom de « Fille aînée de l'Église ».,496.00,496.00,
"3 janvier 500 ou 502 : Décès de sainte Geneviève : Elle est inhumée au sommet de la « montagne » qui portera désormais son nom. Clovis y fait bâtir la basilique des Saints-Apôtres, plus tard débaptisée Basilique Sainte-Geneviève : Elle devient plus tard la patronne de la ville.",500.00,500.00,
Crue de la Seine. Des ponts de la Seine se rompent.,1196.00,1196.00,
"Après avoir tué Alaric, roi des Wisigoths, lors d'un combat singulier lors de la bataille de Vouillé, Clovis réside à Paris et en fait la capitale de son royaume.",508.00,508.00,
"Proclamation de la loi salique : Afin de se positionner en refondateur de l’état de droit, Clovis fait rédiger entre 508 et 510 le premier code de lois français. Jusqu’à la Révolution française et la rédaction du Code Napoléon, ce code législatif reste à la base de la législation en usage. L’égalité entre Francs et Gallo-romains, la liberté de mariage, et la fin de la coutume du « droit de vengeance » y sont notamment proclamées.",510.00,510.00,
Après le 29 octobre 511 : Mort de Clovis à Paris. Il est enterré dans l'église des Saints-Apôtres. Son royaume est partagé entre ses quatre fils. Childebert Ier est roi de Paris.,511.00,511.00,
Crue de la Seine,522.00,522.00,
"7 mai 538 : Amélius, évêque de Paris, est présent au concile d'Orléans.",538.00,538.00,
"Construction de la cathédrale Saint-Étienne, située à l'emplacement où sera construite plus tard Notre-Dame.",540.00,540.00,
"Fondation de l'église Sainte-Croix et Saint-Vincent, depuis l'abbaye Saint-Germain sur les ruines du temple d'Isis.",543.00,547.00,
"Deuxième concile de Paris. La déposition de Saffaracus, évêque de Paris, est confirmée. Il est condamné à la réclusion dans un monastère.",551.00,551.00,
Un violent incendie ravage Paris,552.00,552.00,
Childebert Ier commence à bâtir la cathédrale dédiée à Notre-Dame,555.00,555.00,
"Clotaire Ier, roi des Francs de Soissons réside à Paris",558.00,558.00,
Chilpéric fait réparer l’amphithéâtre romain et y donne des spectacles.,577.00,577.00,
Fondation de l'église Saint-Germain-le-Rond et de l'église Saint-Julien-le-Pauvre,580.00,580.00,
Chilpéric convertit de force de nombreux juifs parisiens.,582.00,582.00,
"Février 583 : Première crue importante de la Seine mentionnée. Grégoire de Tours indique qu'il y eut une inondation si grande qu'entre la Cité et l'église Saint-Laurent, on ne pouvait aller qu'en bateau.",583.00,583.00,
Hiver très doux. Des roses au mois de janvier !,583.00,584.00,
Grand incendie qui ravage toute l’île de la Cité. Seule la cathédrale et les bâtiments qui en dépendaient restent intactes ,585.00,585.00,
"Clotaire Ier rend un édit par lequel il ordonne que les gens établis à Paris pour le guet de nuit, sont responsables des vols, s'ils n'arrêtent pas le voleur.",595.00,595.00,
"10 octobre 614 : Concile sur la liberté des élections épiscopales et sur la juridiction des évêques sur les clercs. Depuis 535, et le concile de Clermont, les évêques étaient déjà librement élu par les clercs et le peuple.",614.00,614.00,
Dagobert Ier réside à Paris et à Clichy-la-Garenne,628.00,638.00,
Fondation de l'Hôtel-Dieu par Saint Landry.,651.00,656.00,
"Décès de l’évêque Landry qui aurait été le fondateur de l’Hôtel-Dieu vers 651. Contrairement aux autres institutions d’assistance qui verront le jour par la suite, l’Hôtel-Dieu reçoit tous les miséreux et les malades, sans distinction. C'est, de fait, la première institution hospitalière, concept totalement inconnu de l'Antiquité.",654.00,654.00,
La peste ravage Paris,666.00,666.00,
Charles Martel entre victorieux à Paris,719.00,719.00,
28 juillet 754 : Onction papale de Pépin le Bref et de ses fils Carloman et Charlemagne par le pape Étienne II à l’abbaye de Saint-Denis.,754.00,754.00,
hiver très rigoureux du 30 octobre au 10 février : La mer gèle en Normandie ! La Seine gèle sur toute son épaisseur à Paris[réf. nécessaire]. Il tombe jusqu’à 10 mètres de neige dans certaines régions. Oliviers et figuiers détruits. Grande famine par la suite.,763.00,764.00,
Charlemagne fonde une école qui est le berceau de l'Université de Paris,781.00,781.00,
Famine à la suite des aléas climatiques et des destructions normandes.,845.00,845.00,
On recense onze famines en vingt ans.,855.00,876.00,
28 décembre 856 : Deuxième raid normand sur Paris qui incendient la ville.,856.00,856.00,
"12 juin 857 : Nouveau raid normand. Toutes les églises sont brûlées, sauf celles de Saint-Germain-des-Prés et de Saint-Denis, contre versement d’une solide rançon.",857.00,857.00,
3 avril 858 : Prise de l’abbaye de Saint-Germain-des-Prés par les Normands.,858.00,858.00,
Construction du pont Charles-le-Chauve,860.00,860.00,
Nouveau raid normand sur Paris qui incendient la ville et l'abbaye de Saint-Germain-des-Prés :,861.00,861.00,
Nouveau raid normand sur Paris qui pillent l’abbaye de Saint-Germain-des-Prés.,869.00,869.00,
"Afin de protéger Paris des raids normands, construction du Grand-Pont et du Petit-Pont sur ordre de Charles le Chauve.",870.00,870.00,
Paris est fortifié par une enceinte.,877.00,877.00,
"28 novembre 885 : Après quatre jours d’assauts quasi permanents, les Normands doivent se résoudre à dresser un camp pour mener à bien le siège de la ville. C’est déjà une victoire pour le comte de Paris Eudes, qui dirige la défense de Paris. Pendant le siège de Paris, les Normands ravagent les environs de la cité mais tentent également des attaques contre la ville.",885.00,885.00,
"Septembre 886 : Arrivée de l’empereur Charles le Gros qui répugne à livrer combat et préfère verser 700 livres d’argent pour faire lever le siège normand. De plus, Charles les autorise à aller ravager la Bourgogne, qui n’est pas encore entièrement soumise… Les Parisiens refusent cet accord et contraignent les Normands à démonter leurs embarcations afin de reprendre leur remontée de la Seine sans passer par Paris.",886.00,886.00,
"Mai 887 : Nouvelle tentative de raid normand, mais les défenses parisiennes les stoppent.",887.00,887.00,
"Juin-Juillet 889 : Nouvelle tentative de raid normand, mais les défenses parisiennes les stoppent encore.",889.00,889.00,
Nouveau raid normand.,910.00,910.00,
hiver rigoureux et long de novembre au 22 mars : la neige tombe encore en mai. Famine tuant le tiers de la population française et certainement la moitié des Parisiens.,974.00,975.00,
Un orage terrible ravage Paris.,944.00,944.00,
"Une cruelle épidémie, connue sous le nom de mal des ardents, mal sacré, mal des enfers frappe la ville. Cette épidémie est décrite dans les annales de Flodoard de Reims.",945.00,945.00,
"Construction de l'église Saint-Barthélemy dans l'île de la Cité, qui prit plus-tard le vocable de Saint-Magloire",965.00,965.00,
Une famine éclate pendant laquelle les hommes se dévorent entre eux.,975.00,975.00,
Famine.,1196.00,1197.00,
30 novembre 978 : L’empereur Otton II lève le siège de Paris.,978.00,978.00,
Fondation du prieuré de Notre-Dame-des-Champs,978.00,996.00,
"Paris s'agrandit au nord et au sud de l'île de la Cité. Les Couvents et les églises qui étaient isolés finissent par se réunirent au moyen de constructions diverses. La ville est alors divisée en 4 parties administratives qui prendront le nom de quartiers : le quartier de la Cité, le quartier Saint-Jacques-la-Boucherie, le quartier la Verrerie et le quartier la Grève.C'est à cette époque que fut construit un mur de clôture autour du faubourg qui s'était formé au Nord de la Cité : il commençait sur le bord de la Seine, en face de la rue Pierre-à-Poisson et se dirigeait le long de la rue Saint-Denis jusqu'à la rue des Lombards ou l'on trouvait une porte. Elle passait ensuite entre la rue des Lombards et la rue Troussevache jusqu'à la rue Saint-Martin ou il y avait une porte appelée Archet-Saint-Merri. Ce mur traversait ensuite le cloitre Saint-Merri, coupait les rues du Renard, Barre-au-Bec et aboutissait rue des Billettes, ou il y avait vraisemblablement une porte. Il longeait ensuite la rue des Deux-Portes, traversait la rue de la Tixéranderie et le cloitre Saint-Jean, près duquel il y avait une porte, et finissait enligne droite sur le bord de la Seine.",987.00,987.00,
Fondation de l'église Saint-Étienne-des-Grès,995.00,995.00,
Fondation de l'église Saint-Denis-de-la-Chartre,1000.00,1000.00,
"Extinction du titre de comte de Paris, le comté revenant dans la main du roi. Le comté fut introduit par les Francs vers 480 à la place de la civitas (cité + sa zone d’influence directe, soit environ 2 500 km2 autour de Paris dans le cas de l’ex-Lutèce).",1007.00,1007.00,
"Afflux d’étudiants à Paris pour suivre les cours du chapitre de Notre-Dame. Le premier maître illustre est l’archidiacre Albert, mort en 1040.",1021.00,1021.00,
"Famine chronique, avec cas d’anthropophagie les trois dernières années.",1021.00,1029.00,
"Famine chronique, qui, selon le témoignage de Raoul Glaber touche les riches et les pauvres.",1031.00,1040.00,
Un terrible incendie détruit une grande partie de la ville.,1034.00,1034.00,
Incendie important ravageant plusieurs quartiers.,1037.00,1037.00,
Le roi Henri Ier fonde l'abbaye de Saint-Martin-des-Champs,1060.00,1060.00,
Concile à Paris qui repousse l’obligation du célibat pour les prêtres.,1074.00,1074.00,
"Hiver rigoureux et long du 1er novembre au 15 avril, le plus froid du XIe siècle.",1076.00,1077.00,
Fondation de la léproserie Saint-Lazare,1100.00,1100.00,
Nomination de Guillaume de Champeaux comme écolâtre de Paris. Son enseignement vaut un prestige exceptionnel à l’école de Notre-Dame.,1103.00,1103.00,
"Épidémie, sans doute de grippe.",1105.00,1105.00,
Fondation de l'abbaye Saint-Victor,1110.00,1110.00,
"12 mars 1111. Les Parisiens témoignent leur fidélité au roi en repoussant une tentative de prise de la ville par Robert Ier, comte de Meulan.",1111.00,1111.00,
Paris s’impose comme capitale des Capétiens en prenant clairement l’ascendant sur Orléans.,1112.00,1112.00,
"Castration d’Abélard sur ordre du chanoine Fulbert, oncle d'Héloïse.",1117.00,1117.00,
Les pluies excessives et la crue de la Seine font s'effondrer des maisons.,1119.00,1119.00,
Installation des maîtres et élèves sur la montagne Sainte-Geneviève ; l’école de Notre-Dame était devenu trop petite.,1120.00,1120.00,
"Épidémie de charbon pestilentielle, dit mal des ardents.",1129.00,1129.00,
3 novembre 1130. « Miracle des Ardents ». L’épidémie est stoppée nette à la suite d'une procession des reliques de sainte Geneviève.,1130.00,1130.00,
"2 octobre 1131. Mort de Philippe, fils aîné du roi Louis le Gros, désarçonné et tué par son cheval effrayé par un cochon circulant rue Saint-Jean. À la suite de cet accident, il sera désormais interdit de laisser les porcs circuler librement dans les rues.",1131.00,1131.00,
"Fondation des églises Saint-Pierre-des-Arcis, de Sainte-Croix-de la Cité, de Saint-Pierre-aux-Bœufs et des Saints-Innocents.",1134.00,1137.00,
"En remplacement du marché de la place de Grève, installation du marché neuf au lieu-dit Les Champeaux (« Petits Champs »), à l'endroit d'anciens marécages situés alors extra-muros, qui deviendra les Halles de Paris.",1137.00,1137.00,
Juillet 1140. Condamnation par le concile de Sens de l’enseignement d’Abélard qui quitte Paris pour Cluny.,1140.00,1140.00,
"Pour mieux pouvoir surveiller les changeurs, le roi Louis VII leur interdit d’exercer hors du pont au Change.",1141.00,1141.00,
Dérivation de la Bièvre par les chanoines de Saint-Victor. La rivière se jette désormais dans la Seine à hauteur de l’actuelle rue de Bièvre.,1148.00,1148.00,
Hiver rigoureux et long de début décembre à février.,1149.00,1150.00,
Mention par saint Bernard du premier moulin à vent sur la butte Copeaux.,1150.00,1150.00,
Début de l’assèchement par les chanoines de Sainte Opportune des marais situés entre Montmartre et la ville.,1154.00,1154.00,
Maurice de Sully décide de reconstruire l'ancienne cathédrale Saint-Étienne en une cathédrale dédiée à Notre-Dame qui deviendra la Cathédrale Notre-Dame de Paris.,1163.00,1163.00,
"Percement de la rue Neuve Notre Dame lors de la reconstruction de la cathédrale. Ces travaux entraînent la destruction de l’Hôtel-Dieu, qui est reconstruit au sud du parvis.",1164.00,1164.00,
L'hôpital Saint-Jean de Latran est fondé sur une parcelle du clos Bruneau.,1171.00,1171.00,
1er novembre : En l'absence de son père de plus en plus souffrant Philippe Auguste est sacré roi de France.,1179.00,1179.00,
18 septembre 1180 : Mort de Louis VII le Jeune. Durant son règne le quartier de l'Université s'accrut considérablement en raison de la grande quantité d'écoliers qui y venaient de toute l'Europe pour y faire leurs études.,1180.00,1180.00,
19 mai 1182. Consécration du maître-autel de la cathédrale Notre-Dame.,,,
"Les principales rues de Paris commencent à être pavées grâce à la donation de 11 000 écus du financier Gérard de Poissy, et les habitants sont tenus de les balayer au droit de leurs maisons.",1184.00,1184.00,
L'église Saint-Thomas-du-Louvre est rebâtie.,1187.00,1187.00,
Famine chronique.,1188.00,1190.00,
"Philippe Auguste, fait édifier une nouvelle enceinte fortifiée de Paris qui sera achevée en 1211.",1190.00,1220.00,
"3 avril 1194. Pertes des archives royales à l’occasion de la bataille de Fréteval. Philippe Auguste décide de tout consigner désormais en double exemplaire, l’un d’eux devant rester impérativement à Paris. C’est le début de la fixation de l’administration royale, jusque-là ambulante, comme le reste de la cour.",1194.00,1194.00,
Mars 1197. Crue de la Seine qui emporte les ponts de Paris.,1197.00,1197.00,
Création d'un premier monastère à l'emplacement de Saint-Antoine-des-Champs.,1198.00,1198.00,
Apparition des premières enseignes pour permettre l’identification des habitations privées.,1200.00,1200.00,
"Frère Hubert, trésorier de l'ordre du Temple, fait construire la grandetour du Temple",1200.00,1200.00,
Étés chauds tout au long du siècle.,,,"class=""abbr"" title=""13ᵉ siècle"">XIIIe siècle"
Jean d'Angleterre est logé au Louvre,1201.00,1201.00,
Fondation de l'hôpital de la Trinité sous le nom d'hôpital de la Coix-de-la-Reine,1202.00,1202.00,
Construction de l'église Saint-Honoré,1204.00,1204.00,
Fondation de l'église Saint-Etienne-du-Mont et la l'église Saint-Symphorien de la Cité,1205.00,1205.00,
"Décembre 1206, crue très importante de la Seine, au point que l'on ne peut se déplacer qu'en bateau, qui emporte trois arches du petit pont et détruit de nombreuses maisons.",1206.00,1206.00,
Condamnation pour hérésie des disciples d’Amaury de Chartres. Ces derniers sont brûlés aux Champeaux pour avoir poussé trop loin l’étude la Métaphysique d’Aristote.,1210.00,1210.00,
L'église Saint-Jean-en-Grève est érigée en paroisse.,1212.00,1212.00,
L'église Saint-Eustache est érigée en cure.,1212.00,1212.00,
Philippe-Auguste fait achever le Louvre,1214.00,1214.00,
"Août 1215. Don de ses statuts à l’université de Paris par le légat pontifical, Robert de Courçon.",1215.00,1215.00,
Fondation du couvent des Jacobins  dans le quartier Saint-Jacques,1218.00,1218.00,
"Crue de la Seine,",1219.00,1219.00,
Fin des travaux de l’enceinte de Philippe-Auguste qui protège 273 hectares. Paris compte 50 000 habitants.,1220.00,1220.00,
Crue de la Seine puis famine.,1221.00,1221.00,
Grande épidémie générale en Europe et à Paris.,1224.00,1225.00,
Établissement du couvent des Filles-Dieu,1225.00,1225.00,
"15 avril 1229. En réaction aux bagarres du 26 février, départ pour Oxford et Cambridge de nombreux maîtres et élèves.",1229.00,1229.00,
Fondation du couvent des Cordeliers,1230.00,1230.00,
13 avril 1231 : Fin du conflit de l’université avec la bulle Parens scientiarum qui accorde aux élèves le privilège du canon et les assimile à des clercs.,1231.00,1231.00,
Fondation de l'église Saint-Leu et Saint-Gilles,1235.00,1235.00,
"Sur ordre de l’évêque Guillaume d'Auvergne, réglages des sonneries des cloches par des horloges.",1240.00,1240.00,
Construction du couvent des Bernardins,1244.00,1244.00,
Fondation de la Sainte Chapelle,1245.00,1245.00,
Autonomie financière et judiciaire de l’Université de Paris qui reçoit son sceau propre.,1246.00,1246.00,
26 avril 1248 : Consécration de la Sainte-Chapelle.,,,
"Construction de la Cura Regis, ou parlement, avec des premières sessions uniquement judiciaires. Le Parlement de Paris n’est pas un institut local mais national qui a autorité de la Picardie à l’Auvergne, des Pays de Loire à la Champagne.",1250.00,1250.00,
Début de l’enseignement de Thomas d'Aquin à l’Université de Paris.,1252.00,1252.00,
Fondation du collège de la Sorbonne,1253.00,1253.00,
Les Carmes s'installent quai des Célestins,1254.00,1254.00,
"Le greffier du Parlement, Jean de Montmartre, ouvre le premier de ses registres, les Olim.",1255.00,1255.00,
Saint Louis établit une bibliothèque dans la Sainte-Chapelle,1256.00,1256.00,
"1er septembre 1257. Ouverture du collège fondé par Robert de Sorbon, la Sorbonne.",1257.00,1257.00,
Établissement des chanoines de la Sainte-Croix de la Bretonnerie et des Blancs-Manteaux,1258.00,1258.00,
Les Chartreux vont occuper le château de Vauvert.,1259.00,1259.00,
L'église Saint-Josse devient une paroisse,1260.00,1260.00,
Le prévôt de Paris est désormais un simple fonctionnaire royal.,1261.00,1261.00,
Compilation du Livre des métiers par le prévôt royal Étienne Boileau qui mentionne les statuts de cent trente-deux métiers.,1268.00,1268.00,
Le chambellan et voyer de Paris Jean Sarrazin dresse un état des droits de sa charge en 13 articles.,1270.00,1270.00,
Fondation du collège d'Harcourt,1280.00,1280.00,
On commence à construire dans les environs de l'église Saint-Honoré,1281.00,1281.00,
Apogée de l’Université de Paris qui reçoit du pape le droit d’enseigner toute la chrétienté.,1292.00,1292.00,
Saint-Marcel et Saint-Germain-des-Prés deviennent des faubourgs de Paris,1296.00,1296.00,
Première mention de la construction d’une horloge à Paris.,1299.00,1299.00,
Population de Paris estimée de 250 000 à 300 000 habitants.,1300.00,1300.00,
"Première liste des noms de rues de Paris dans Le Dit des rues de Paris par le rimeur Guillot de Paris. Ce document indique que la capitale comptait 310 rues dont 80 dans le quartier d'Outre-Petit-Pont, 36 dans la Cité et 114 dans le quartier d'Outre-Grand-Pont. Toutefois ne sont pas comprise les impasses, les rues sans chief et les rues situées hors des murailles.À cette époque, les rues de Paris, étroites, sombres, malsaines étaient sales et pour la plupart non pavées. C'était le voyer de Paris qui avait à charge la voirie de la ville.",1300.00,1300.00,
"Réunion à Notre-Dame des premiers États Généraux, afin d’apporter un soutien au roi Philippe le Bel contre le pape Boniface VIII.",1302.00,1302.00,
Installation des changeurs sur le Grand-Pont qui prend désormais le nom de Pont au Change.,1304.00,1304.00,
"À la suite de travaux de réfection du Pont au Change, les changeurs peuvent exercer sur la rive attenant au Châtelet : Les changeurs, qui se contentaient jusque-là d’effectuer le change entre les diverses monnaies européennes, deviennent depuis peu des prêteurs ; on appelle ces derniers les Lombards (16 changeurs et 20 lombards en 1292).",1305.00,1305.00,
30 décembre 1306 : Émeute contre la hausse des loyers. Le roi est même assiégé par la foule au Temple.,1306.00,1306.00,
13 octobre 1307 : Arrestation des Templiers.,1307.00,1307.00,
"Juin 1310 : Margueritte Porette, une illuminée originaire du Hainaut, et une juive relapse, sont brûlées vives en place de Grève.",1310.00,1310.00,
Expulsion des usuriers lombards.,1311.00,1311.00,
Construction du premier quai de la ville entre le couvent des Grands Augustins et l’tour de Nesle.,1313.00,1313.00,
"19 mars 1314 : Bûcher pour les Templiers, dont Jacques de Molay, à la pointe de l’île de la Cité :",,,
"Hiver 1315-1316 : Hiver rigoureux et long de décembre à Pâques. Grande Famine. La Seine gèle. Lors de la débâcle, les ponts de Paris sont emportés.",1315.00,1315.00,
"Par une ordonnance royale de janvier 1318, le roi de France Philippe V le Long enjoint au greffier du Châtelet de veiller « à ce qu'une chandelle fut entretenue pendant la nuit à la porte, du palais de ce tribunal, afin de déjouer les entreprises des malfaiteurs qui se perpétuaient jusque sur la place, alors la plus fréquentée de la capitale. » Il existait deux autres éclairage à la tour de Nesle et au cimetière des Innocents, mais c'était tout.",1318.00,1318.00,
"Décembre 1320 : Organisation définitive du parlement en trois chambres : Grand-Chambre, Chambre des enquêtes et Chambre des requêtes :",1320.00,1320.00,
"Autorisation par le prévôt de Paris du travail de nuit, jusque-là strictement interdit",1322.00,1322.00,
Parution du premier guide touristique de Paris de Jean de Jandun :,1323.00,1323.00,
"En décembre, crue de la Seine qui continue en janvier",1325.00,1325.00,
6 janvier 1326 : Hiver rigoureux et long. La Seine gèle. Les ponts de Paris sont emportés par la débâcle. Inondation très importante. L’île de la Cité est approvisionné par bateaux pendant cinq semaines.,1326.00,1326.00,
Février 1328 : Épidémie particulièrement meurtrière.,1328.00,1328.00,
"20 mars 1342 : Institution de la gabelle, impôt sur le sel qui suscite de très vives résistances.",1342.00,1342.00,
"Après 182 années de travaux, la cathédrale Notre-Dame de Paris est achevée.",1345.00,1345.00,
"Interdiction royale de balayer les rues après de fortes pluies afin de limiter le rejet des ordures à la Seine, principale source d’eau potable utilisée par les Parisiens.",1348.00,1348.00,
"Mai 1349 : Au paroxysme de l’épidémie de peste noire, le Conseil royal quitte la ville.",1349.00,1349.00,
Ouverture du premier égout à ciel ouvert partant de la place Baudoyer pour se déverser dans les fossés de la Bastille.,1350.00,1350.00,
"7 juillet 1357 : Achat par Étienne Marcel, prévôt des marchands depuis 1355, de la maison aux piliers de la place de Grève afin d’y installer la municipalité.",,,
"10 août 1358 : Après quelques exécutions de partisans d’Étienne Marcel, une amnistie est proclamée.",1358.00,1358.00,
13 mai 1360 : Signature d’une convention entre les bourgeois de Paris et les Anglais pour le rachat de dix places fortes qui gênent les communications et le ravitaillement de la ville.,1360.00,1360.00,
Épidémie de peste.,1360.00,1363.00,
La paupérisation s’accentue et le nombre de mendiants errants dans les rues de Paris devient important.,1363.00,1363.00,
"Charles V le Sage est couronné roi de France et abandonne l’hôtel Saint-Pol dans le quartier du Marais, siège traditionnel du pouvoir, pour s’installer au Louvre qu’il fait rénover.",1364.00,1364.00,
Population de Paris estimée à 275 000 habitants.,1365.00,1365.00,
Nouveau détournement de la Bièvre qui se jette désormais dans la Seine au niveau du Château de la Tournelle. La partie de la rivière restée à Paris est transformée en égout.,1368.00,1368.00,
22 avril 1370 : Pose de la première pierre de la Bastille :,1370.00,1370.00,
"Jeanne Daubenton, membre très active des [Turlupins] est brûlée vive en place de Grève. Les Turlupins sont les héritiers des adamistes qui prêchent pour le dénuement et la nudité. Ce mouvement est excommunié cette même année par le pape Grégoire XI.",1372.00,1372.00,
Crue importante de la Seine.,1373.00,1373.00,
"Afin de mettre un terme à l’usage du « tout à la rue », transformant les rues en véritables égouts, il est désormais obligatoire à tous les propriétaires de la ville et des faubourgs de Paris de doter leurs logements de latrines privées en nombre suffisant. Cette obligation devra être souvent renouvelée, car de nombreux propriétaires n’équipent pas leurs logements.",1374.00,1374.00,
Crue de la Seine.,,,
Construction du pont Saint-Michel d’abord appelé pont Neuf :,1378.00,1378.00,
Fin des travaux de l’enceinte dite de Charles V qui protège 439 hectares.,1380.00,1380.00,
Révolte des Maillotins,1382.00,1382.00,
Été 1383 : Canicule.,1383.00,1383.00,
Dernier duel judiciaire entre Jean de Carrouges et Jacques Le Gris (en) à Saint Martin des Champs,1386.00,1386.00,
"20 juin, Couronnement et entrée à Paris de la reine Isabeau de Bavière",1389.00,1389.00,
"Le 13 juin, le connétable Olivier de Clisson est assassiné par Pierre de Craon à l'entrée de la rue Culture-Sainte-Catherine. Grièvement blessé, il survivra.",1392.00,1392.00,
