startDate,endDate,evenement,commentaire
366.0,366.0,"Vers juin 366. Second séjour de Valentinien Ier à Paris. On lui apporte la tête de Procope vaincu par Valens. Il y reçoit Jovin, maître de la cavalerie, qui a vaincu les Alamans.",
383.0,383.0,Bataille de Lutèce entre les forces du général Magnus Maximus proclamé empereur par ses troupes et celles de l'empereur Gratien.,
385.0,385.0,Passage à Paris de saint Martin qui guérit un lépreux à la porte Nord de la cité par un simple baiser et une bénédiction.,
397.0,397.0,"Geneviève de Paris exhorte les habitants à ne pas fuir face à l'approche des Huns d'Attila (qui se dirigera finalement vers Orléans). Ses mots restent célèbres : « Que les hommes fuient, s’ils veulent, s’ils ne sont plus capables de se battre. Nous les femmes, nous prierons Dieu tant et tant qu’Il entendra nos supplications ». Elle devient le personnage le plus en vue de la cité.",
464.0,465.0,"Blocus de Paris par le roi franc Childéric Ier, qui chasse les Romains de Paris.",
475.0,475.0,Construction d’une basilique à l’emplacement du tombeau de saint Denis.,
486.0,486.0,"Sainte Geneviève négocie avec Clovis la soumission de Paris à son autorité. Clovis vient de remporter une victoire décisive sur le romain Syagrius, mais sainte Geneviève lui interdit toute entrée à Paris. Il assiège la ville où une famine se déclare. Sainte Geneviève organise le ravitaillement, et Clovis lève le siège. Cette situation tendue entre Paris et Clovis perdure pendant dix ans. Paris est alors un îlot nicéen au milieu d’un océan dominé par l’arianisme, et sainte Geneviève ne veut pas couper définitivement les ponts avec Clovis, roi païen et pas arianiste comme tous les autres rois barbares. La défaite de Syagrius, « le dernier des Romains », marque la césure parisienne entre l'Antiquité et le Moyen Âge, ou plutôt l'Antiquité tardive.",
494.0,494.0,"Clovis se laisse progressivement convaincre par son entourage catholique de se convertir. Les avantages politiques apparaissent en effet évidents, car de nombreuses cités restées farouchement catholiques, comme Paris, appellent de leurs vœux un roi catholique. Premier signe de cette conversion progressive, le baptême de son fils. Hélas, ce dernier meurt peu après le sacrement, déclenchant une colère noire de Clovis qui assiège alors Paris. Sainte Geneviève organise le ravitaillement de la ville. Clovis lève le siège.",
496.0,496.0,La conversion de Clovis au catholicisme à Reims est accueillie par la liesse à Paris qui ouvre désormais en grand ses portes aux Francs convertis. La reconquête face aux hérétiques ariens peut commencer. Clovis est en effet le seul monarque catholique en exercice ; la France hérite du surnom de « Fille aînée de l'Église ».,
500.0,500.0,"3 janvier 500 ou 502 : Décès de sainte Geneviève : Elle est inhumée au sommet de la « montagne » qui portera désormais son nom. Clovis y fait bâtir la basilique des Saints-Apôtres, plus tard débaptisée Basilique Sainte-Geneviève : Elle devient plus tard la patronne de la ville.",
508.0,508.0,"Après avoir tué Alaric, roi des Wisigoths, lors d'un combat singulier lors de la bataille de Vouillé, Clovis réside à Paris et en fait la capitale de son royaume.",
510.0,510.0,"Proclamation de la loi salique : Afin de se positionner en refondateur de l’état de droit, Clovis fait rédiger entre 508 et 510 le premier code de lois français. Jusqu’à la Révolution française et la rédaction du Code Napoléon, ce code législatif reste à la base de la législation en usage. L’égalité entre Francs et Gallo-romains, la liberté de mariage, et la fin de la coutume du « droit de vengeance » y sont notamment proclamées.",
511.0,511.0,Après le 29 octobre 511 : Mort de Clovis à Paris. Il est enterré dans l'église des Saints-Apôtres. Son royaume est partagé entre ses quatre fils. Childebert Ier est roi de Paris.,
522.0,522.0,Crue de la Seine,
538.0,538.0,"7 mai 538 : Amélius, évêque de Paris, est présent au concile d'Orléans.",
540.0,540.0,"Construction de la cathédrale Saint-Étienne, située à l'emplacement où sera construite plus tard Notre-Dame.",
543.0,547.0,"Fondation de l'église Sainte-Croix et Saint-Vincent, depuis l'abbaye Saint-Germain sur les ruines du temple d'Isis.",
551.0,551.0,"Deuxième concile de Paris. La déposition de Saffaracus, évêque de Paris, est confirmée. Il est condamné à la réclusion dans un monastère.",
552.0,552.0,Un violent incendie ravage Paris,
555.0,555.0,Childebert Ier commence à bâtir la cathédrale dédiée à Notre-Dame,
558.0,558.0,"Clotaire Ier, roi des Francs de Soissons réside à Paris",
577.0,577.0,Chilpéric fait réparer l’amphithéâtre romain et y donne des spectacles.,
580.0,580.0,Fondation de l'église Saint-Germain-le-Rond et de l'église Saint-Julien-le-Pauvre,
582.0,582.0,Chilpéric convertit de force de nombreux juifs parisiens.,
583.0,583.0,"Février 583 : Première crue importante de la Seine mentionnée. Grégoire de Tours indique qu'il y eut une inondation si grande qu'entre la Cité et l'église Saint-Laurent, on ne pouvait aller qu'en bateau.",
583.0,584.0,Hiver très doux. Des roses au mois de janvier !,
585.0,585.0,Grand incendie qui ravage toute l’île de la Cité. Seule la cathédrale et les bâtiments qui en dépendaient restent intactes ,
595.0,595.0,"Clotaire Ier rend un édit par lequel il ordonne que les gens établis à Paris pour le guet de nuit, sont responsables des vols, s'ils n'arrêtent pas le voleur.",
614.0,614.0,"10 octobre 614 : Concile sur la liberté des élections épiscopales et sur la juridiction des évêques sur les clercs. Depuis 535, et le concile de Clermont, les évêques étaient déjà librement élu par les clercs et le peuple.",
628.0,638.0,Dagobert Ier réside à Paris et à Clichy-la-Garenne,
651.0,656.0,Fondation de l'Hôtel-Dieu par Saint Landry.,
654.0,654.0,"Décès de l’évêque Landry qui aurait été le fondateur de l’Hôtel-Dieu vers 651. Contrairement aux autres institutions d’assistance qui verront le jour par la suite, l’Hôtel-Dieu reçoit tous les miséreux et les malades, sans distinction. C'est, de fait, la première institution hospitalière, concept totalement inconnu de l'Antiquité.",
666.0,666.0,La peste ravage Paris,
719.0,719.0,Charles Martel entre victorieux à Paris,
754.0,754.0,28 juillet 754 : Onction papale de Pépin le Bref et de ses fils Carloman et Charlemagne par le pape Étienne II à l’abbaye de Saint-Denis.,
763.0,764.0,hiver très rigoureux du 30 octobre au 10 février : La mer gèle en Normandie ! La Seine gèle sur toute son épaisseur à Paris[réf. nécessaire]. Il tombe jusqu’à 10 mètres de neige dans certaines régions. Oliviers et figuiers détruits. Grande famine par la suite.,
781.0,781.0,Charlemagne fonde une école qui est le berceau de l'Université de Paris,
845.0,845.0,Famine à la suite des aléas climatiques et des destructions normandes.,
855.0,876.0,On recense onze famines en vingt ans.,
856.0,856.0,28 décembre 856 : Deuxième raid normand sur Paris qui incendient la ville.,
857.0,857.0,"12 juin 857 : Nouveau raid normand. Toutes les églises sont brûlées, sauf celles de Saint-Germain-des-Prés et de Saint-Denis, contre versement d’une solide rançon.",
858.0,858.0,3 avril 858 : Prise de l’abbaye de Saint-Germain-des-Prés par les Normands.,
860.0,860.0,Construction du pont Charles-le-Chauve,
861.0,861.0,Nouveau raid normand sur Paris qui incendient la ville et l'abbaye de Saint-Germain-des-Prés :,
869.0,869.0,Nouveau raid normand sur Paris qui pillent l’abbaye de Saint-Germain-des-Prés.,
870.0,870.0,"Afin de protéger Paris des raids normands, construction du Grand-Pont et du Petit-Pont sur ordre de Charles le Chauve.",
877.0,877.0,Paris est fortifié par une enceinte.,
885.0,885.0,"28 novembre 885 : Après quatre jours d’assauts quasi permanents, les Normands doivent se résoudre à dresser un camp pour mener à bien le siège de la ville. C’est déjà une victoire pour le comte de Paris Eudes, qui dirige la défense de Paris. Pendant le siège de Paris, les Normands ravagent les environs de la cité mais tentent également des attaques contre la ville.",
886.0,886.0,"Septembre 886 : Arrivée de l’empereur Charles le Gros qui répugne à livrer combat et préfère verser 700 livres d’argent pour faire lever le siège normand. De plus, Charles les autorise à aller ravager la Bourgogne, qui n’est pas encore entièrement soumise… Les Parisiens refusent cet accord et contraignent les Normands à démonter leurs embarcations afin de reprendre leur remontée de la Seine sans passer par Paris.",
887.0,887.0,"Mai 887 : Nouvelle tentative de raid normand, mais les défenses parisiennes les stoppent.",
889.0,889.0,"Juin-Juillet 889 : Nouvelle tentative de raid normand, mais les défenses parisiennes les stoppent encore.",
910.0,910.0,Nouveau raid normand.,
974.0,975.0,hiver rigoureux et long de novembre au 22 mars : la neige tombe encore en mai. Famine tuant le tiers de la population française et certainement la moitié des Parisiens.,
944.0,944.0,Un orage terrible ravage Paris.,
945.0,945.0,"Une cruelle épidémie, connue sous le nom de mal des ardents, mal sacré, mal des enfers frappe la ville. Cette épidémie est décrite dans les annales de Flodoard de Reims.",
965.0,965.0,"Construction de l'église Saint-Barthélemy dans l'île de la Cité, qui prit plus-tard le vocable de Saint-Magloire",
975.0,975.0,Une famine éclate pendant laquelle les hommes se dévorent entre eux.,
978.0,978.0,30 novembre 978 : L’empereur Otton II lève le siège de Paris.,
978.0,996.0,Fondation du prieuré de Notre-Dame-des-Champs,
987.0,987.0,"Paris s'agrandit au nord et au sud de l'île de la Cité. Les Couvents et les églises qui étaient isolés finissent par se réunirent au moyen de constructions diverses. La ville est alors divisée en 4 parties administratives qui prendront le nom de quartiers : le quartier de la Cité, le quartier Saint-Jacques-la-Boucherie, le quartier la Verrerie et le quartier la Grève.C'est à cette époque que fut construit un mur de clôture autour du faubourg qui s'était formé au Nord de la Cité : il commençait sur le bord de la Seine, en face de la rue Pierre-à-Poisson et se dirigeait le long de la rue Saint-Denis jusqu'à la rue des Lombards ou l'on trouvait une porte. Elle passait ensuite entre la rue des Lombards et la rue Troussevache jusqu'à la rue Saint-Martin ou il y avait une porte appelée Archet-Saint-Merri. Ce mur traversait ensuite le cloitre Saint-Merri, coupait les rues du Renard, Barre-au-Bec et aboutissait rue des Billettes, ou il y avait vraisemblablement une porte. Il longeait ensuite la rue des Deux-Portes, traversait la rue de la Tixéranderie et le cloitre Saint-Jean, près duquel il y avait une porte, et finissait enligne droite sur le bord de la Seine.",
995.0,995.0,Fondation de l'église Saint-Étienne-des-Grès,
1000.0,1000.0,Fondation de l'église Saint-Denis-de-la-Chartre,
1007.0,1007.0,"Extinction du titre de comte de Paris, le comté revenant dans la main du roi. Le comté fut introduit par les Francs vers 480 à la place de la civitas (cité + sa zone d’influence directe, soit environ 2 500 km2 autour de Paris dans le cas de l’ex-Lutèce).",
1021.0,1021.0,"Afflux d’étudiants à Paris pour suivre les cours du chapitre de Notre-Dame. Le premier maître illustre est l’archidiacre Albert, mort en 1040.",
1021.0,1029.0,"Famine chronique, avec cas d’anthropophagie les trois dernières années.",
1031.0,1040.0,"Famine chronique, qui, selon le témoignage de Raoul Glaber touche les riches et les pauvres.",
1034.0,1034.0,Un terrible incendie détruit une grande partie de la ville.,
1037.0,1037.0,Incendie important ravageant plusieurs quartiers.,
1060.0,1060.0,Le roi Henri Ier fonde l'abbaye de Saint-Martin-des-Champs,
1074.0,1074.0,Concile à Paris qui repousse l’obligation du célibat pour les prêtres.,
1076.0,1077.0,"Hiver rigoureux et long du 1er novembre au 15 avril, le plus froid du XIe siècle.",
1100.0,1100.0,Fondation de la léproserie Saint-Lazare,
1103.0,1103.0,Nomination de Guillaume de Champeaux comme écolâtre de Paris. Son enseignement vaut un prestige exceptionnel à l’école de Notre-Dame.,
1105.0,1105.0,"Épidémie, sans doute de grippe.",
1110.0,1110.0,Fondation de l'abbaye Saint-Victor,
1111.0,1111.0,"12 mars 1111. Les Parisiens témoignent leur fidélité au roi en repoussant une tentative de prise de la ville par Robert Ier, comte de Meulan.",
1112.0,1112.0,Paris s’impose comme capitale des Capétiens en prenant clairement l’ascendant sur Orléans.,
1117.0,1117.0,"Castration d’Abélard sur ordre du chanoine Fulbert, oncle d'Héloïse.",
1119.0,1119.0,Les pluies excessives et la crue de la Seine font s'effondrer des maisons.,
1120.0,1120.0,Installation des maîtres et élèves sur la montagne Sainte-Geneviève ; l’école de Notre-Dame était devenu trop petite.,
1129.0,1129.0,"Épidémie de charbon pestilentielle, dit mal des ardents.",
1130.0,1130.0,3 novembre 1130. « Miracle des Ardents ». L’épidémie est stoppée nette à la suite d'une procession des reliques de sainte Geneviève.,
1131.0,1131.0,"2 octobre 1131. Mort de Philippe, fils aîné du roi Louis le Gros, désarçonné et tué par son cheval effrayé par un cochon circulant rue Saint-Jean. À la suite de cet accident, il sera désormais interdit de laisser les porcs circuler librement dans les rues.",
1134.0,1137.0,"Fondation des églises Saint-Pierre-des-Arcis, de Sainte-Croix-de la Cité, de Saint-Pierre-aux-Bœufs et des Saints-Innocents.",
1137.0,1137.0,"En remplacement du marché de la place de Grève, installation du marché neuf au lieu-dit Les Champeaux (« Petits Champs »), à l'endroit d'anciens marécages situés alors extra-muros, qui deviendra les Halles de Paris.",
1140.0,1140.0,Juillet 1140. Condamnation par le concile de Sens de l’enseignement d’Abélard qui quitte Paris pour Cluny.,
1141.0,1141.0,"Pour mieux pouvoir surveiller les changeurs, le roi Louis VII leur interdit d’exercer hors du pont au Change.",
1148.0,1148.0,Dérivation de la Bièvre par les chanoines de Saint-Victor. La rivière se jette désormais dans la Seine à hauteur de l’actuelle rue de Bièvre.,
1149.0,1150.0,Hiver rigoureux et long de début décembre à février.,
1150.0,1150.0,Mention par saint Bernard du premier moulin à vent sur la butte Copeaux.,
1154.0,1154.0,Début de l’assèchement par les chanoines de Sainte Opportune des marais situés entre Montmartre et la ville.,
1163.0,1163.0,Maurice de Sully décide de reconstruire l'ancienne cathédrale Saint-Étienne en une cathédrale dédiée à Notre-Dame qui deviendra la Cathédrale Notre-Dame de Paris.,
1164.0,1164.0,"Percement de la rue Neuve Notre Dame lors de la reconstruction de la cathédrale. Ces travaux entraînent la destruction de l’Hôtel-Dieu, qui est reconstruit au sud du parvis.",
1171.0,1171.0,L'hôpital Saint-Jean de Latran est fondé sur une parcelle du clos Bruneau.,
1179.0,1179.0,1er novembre : En l'absence de son père de plus en plus souffrant Philippe Auguste est sacré roi de France.,
1180.0,1180.0,19 mai 1182. Consécration du maître-autel de la cathédrale Notre-Dame.,
1184.0,1184.0,"Les principales rues de Paris commencent à être pavées grâce à la donation de 11 000 écus du financier Gérard de Poissy, et les habitants sont tenus de les balayer au droit de leurs maisons.",
1187.0,1187.0,L'église Saint-Thomas-du-Louvre est rebâtie.,
1188.0,1190.0,Famine chronique.,
1190.0,1220.0,"Philippe Auguste, fait édifier une nouvelle enceinte fortifiée de Paris qui sera achevée en 1211.",
1194.0,1194.0,"3 avril 1194. Pertes des archives royales à l’occasion de la bataille de Fréteval. Philippe Auguste décide de tout consigner désormais en double exemplaire, l’un d’eux devant rester impérativement à Paris. C’est le début de la fixation de l’administration royale, jusque-là ambulante, comme le reste de la cour.",
1196.0,1196.0,Crue de la Seine. Des ponts de la Seine se rompent.,
1196.0,1197.0,Famine.,
1197.0,1197.0,Mars 1197. Crue de la Seine qui emporte les ponts de Paris.,
1198.0,1198.0,Création d'un premier monastère à l'emplacement de Saint-Antoine-des-Champs.,
1200.0,1200.0,Apparition des premières enseignes pour permettre l’identification des habitations privées.,
1200.0,1200.0,"Frère Hubert, trésorier de l'ordre du Temple, fait construire la grandetour du Temple",
,,Étés chauds tout au long du siècle.,"class=""abbr"" title=""13ᵉ siècle"">XIIIe siècle"
1201.0,1201.0,Jean d'Angleterre est logé au Louvre,
1202.0,1202.0,Fondation de l'hôpital de la Trinité sous le nom d'hôpital de la Coix-de-la-Reine,
1204.0,1204.0,Construction de l'église Saint-Honoré,
1205.0,1205.0,Fondation de l'église Saint-Etienne-du-Mont et la l'église Saint-Symphorien de la Cité,
1206.0,1206.0,"Décembre 1206, crue très importante de la Seine, au point que l'on ne peut se déplacer qu'en bateau, qui emporte trois arches du petit pont et détruit de nombreuses maisons.",
1210.0,1210.0,Condamnation pour hérésie des disciples d’Amaury de Chartres. Ces derniers sont brûlés aux Champeaux pour avoir poussé trop loin l’étude la Métaphysique d’Aristote.,
1212.0,1212.0,L'église Saint-Jean-en-Grève est érigée en paroisse.,
1212.0,1212.0,L'église Saint-Eustache est érigée en cure.,
1214.0,1214.0,Philippe-Auguste fait achever le Louvre,
1215.0,1215.0,"Août 1215. Don de ses statuts à l’université de Paris par le légat pontifical, Robert de Courçon.",
1218.0,1218.0,Fondation du couvent des Jacobins  dans le quartier Saint-Jacques,
1219.0,1219.0,"Crue de la Seine,",
1220.0,1220.0,Fin des travaux de l’enceinte de Philippe-Auguste qui protège 273 hectares. Paris compte 50 000 habitants.,
1221.0,1221.0,Crue de la Seine puis famine.,
1224.0,1225.0,Grande épidémie générale en Europe et à Paris.,
1225.0,1225.0,Établissement du couvent des Filles-Dieu,
1229.0,1229.0,"15 avril 1229. En réaction aux bagarres du 26 février, départ pour Oxford et Cambridge de nombreux maîtres et élèves.",
1230.0,1230.0,Fondation du couvent des Cordeliers,
1231.0,1231.0,13 avril 1231 : Fin du conflit de l’université avec la bulle Parens scientiarum qui accorde aux élèves le privilège du canon et les assimile à des clercs.,
1235.0,1235.0,Fondation de l'église Saint-Leu et Saint-Gilles,
1240.0,1240.0,"Sur ordre de l’évêque Guillaume d'Auvergne, réglages des sonneries des cloches par des horloges.",
1244.0,1244.0,Construction du couvent des Bernardins,
1245.0,1245.0,Fondation de la Sainte Chapelle,
1246.0,1246.0,26 avril 1248 : Consécration de la Sainte-Chapelle.,
1250.0,1250.0,"Construction de la Cura Regis, ou parlement, avec des premières sessions uniquement judiciaires. Le Parlement de Paris n’est pas un institut local mais national qui a autorité de la Picardie à l’Auvergne, des Pays de Loire à la Champagne.",
1252.0,1252.0,Début de l’enseignement de Thomas d'Aquin à l’Université de Paris.,
1253.0,1253.0,Fondation du collège de la Sorbonne,
1254.0,1254.0,Les Carmes s'installent quai des Célestins,
1255.0,1255.0,"Le greffier du Parlement, Jean de Montmartre, ouvre le premier de ses registres, les Olim.",
1256.0,1256.0,Saint Louis établit une bibliothèque dans la Sainte-Chapelle,
1257.0,1257.0,"1er septembre 1257. Ouverture du collège fondé par Robert de Sorbon, la Sorbonne.",
1258.0,1258.0,Établissement des chanoines de la Sainte-Croix de la Bretonnerie et des Blancs-Manteaux,
1259.0,1259.0,Les Chartreux vont occuper le château de Vauvert.,
1260.0,1260.0,L'église Saint-Josse devient une paroisse,
1261.0,1261.0,Le prévôt de Paris est désormais un simple fonctionnaire royal.,
1268.0,1268.0,Compilation du Livre des métiers par le prévôt royal Étienne Boileau qui mentionne les statuts de cent trente-deux métiers.,
1270.0,1270.0,Le chambellan et voyer de Paris Jean Sarrazin dresse un état des droits de sa charge en 13 articles.,
1280.0,1280.0,Fondation du collège d'Harcourt,
1281.0,1281.0,On commence à construire dans les environs de l'église Saint-Honoré,
1292.0,1292.0,Apogée de l’Université de Paris qui reçoit du pape le droit d’enseigner toute la chrétienté.,
1296.0,1296.0,Saint-Marcel et Saint-Germain-des-Prés deviennent des faubourgs de Paris,
1299.0,1299.0,Première mention de la construction d’une horloge à Paris.,
1300.0,1300.0,Population de Paris estimée de 250 000 à 300 000 habitants.,
1300.0,1300.0,"Première liste des noms de rues de Paris dans Le Dit des rues de Paris par le rimeur Guillot de Paris. Ce document indique que la capitale comptait 310 rues dont 80 dans le quartier d'Outre-Petit-Pont, 36 dans la Cité et 114 dans le quartier d'Outre-Grand-Pont. Toutefois ne sont pas comprise les impasses, les rues sans chief et les rues situées hors des murailles.À cette époque, les rues de Paris, étroites, sombres, malsaines étaient sales et pour la plupart non pavées. C'était le voyer de Paris qui avait à charge la voirie de la ville.",
1302.0,1302.0,"Réunion à Notre-Dame des premiers États Généraux, afin d’apporter un soutien au roi Philippe le Bel contre le pape Boniface VIII.",
1304.0,1304.0,Installation des changeurs sur le Grand-Pont qui prend désormais le nom de Pont au Change.,
1305.0,1305.0,"À la suite de travaux de réfection du Pont au Change, les changeurs peuvent exercer sur la rive attenant au Châtelet : Les changeurs, qui se contentaient jusque-là d’effectuer le change entre les diverses monnaies européennes, deviennent depuis peu des prêteurs ; on appelle ces derniers les Lombards (16 changeurs et 20 lombards en 1292).",
1306.0,1306.0,30 décembre 1306 : Émeute contre la hausse des loyers. Le roi est même assiégé par la foule au Temple.,
1307.0,1307.0,13 octobre 1307 : Arrestation des Templiers.,
1310.0,1310.0,"Juin 1310 : Margueritte Porette, une illuminée originaire du Hainaut, et une juive relapse, sont brûlées vives en place de Grève.",
1311.0,1311.0,Expulsion des usuriers lombards.,
1313.0,1313.0,"19 mars 1314 : Bûcher pour les Templiers, dont Jacques de Molay, à la pointe de l’île de la Cité :",
1315.0,1315.0,"Hiver 1315-1316 : Hiver rigoureux et long de décembre à Pâques. Grande Famine. La Seine gèle. Lors de la débâcle, les ponts de Paris sont emportés.",
1318.0,1318.0,"Par une ordonnance royale de janvier 1318, le roi de France Philippe V le Long enjoint au greffier du Châtelet de veiller « à ce qu'une chandelle fut entretenue pendant la nuit à la porte, du palais de ce tribunal, afin de déjouer les entreprises des malfaiteurs qui se perpétuaient jusque sur la place, alors la plus fréquentée de la capitale. » Il existait deux autres éclairage à la tour de Nesle et au cimetière des Innocents, mais c'était tout.",
1320.0,1320.0,"Décembre 1320 : Organisation définitive du parlement en trois chambres : Grand-Chambre, Chambre des enquêtes et Chambre des requêtes :",
1322.0,1322.0,"Autorisation par le prévôt de Paris du travail de nuit, jusque-là strictement interdit",
1323.0,1323.0,Parution du premier guide touristique de Paris de Jean de Jandun :,
1325.0,1325.0,"En décembre, crue de la Seine qui continue en janvier",
1326.0,1326.0,6 janvier 1326 : Hiver rigoureux et long. La Seine gèle. Les ponts de Paris sont emportés par la débâcle. Inondation très importante. L’île de la Cité est approvisionné par bateaux pendant cinq semaines.,
1328.0,1328.0,Février 1328 : Épidémie particulièrement meurtrière.,
1342.0,1342.0,"20 mars 1342 : Institution de la gabelle, impôt sur le sel qui suscite de très vives résistances.",
1345.0,1345.0,"Après 182 années de travaux, la cathédrale Notre-Dame de Paris est achevée.",
1348.0,1348.0,"Interdiction royale de balayer les rues après de fortes pluies afin de limiter le rejet des ordures à la Seine, principale source d’eau potable utilisée par les Parisiens.",
1349.0,1349.0,"Mai 1349 : Au paroxysme de l’épidémie de peste noire, le Conseil royal quitte la ville.",
1350.0,1350.0,"7 juillet 1357 : Achat par Étienne Marcel, prévôt des marchands depuis 1355, de la maison aux piliers de la place de Grève afin d’y installer la municipalité.",
1358.0,1358.0,"10 août 1358 : Après quelques exécutions de partisans d’Étienne Marcel, une amnistie est proclamée.",
1360.0,1360.0,13 mai 1360 : Signature d’une convention entre les bourgeois de Paris et les Anglais pour le rachat de dix places fortes qui gênent les communications et le ravitaillement de la ville.,
1360.0,1363.0,Épidémie de peste.,
1363.0,1363.0,La paupérisation s’accentue et le nombre de mendiants errants dans les rues de Paris devient important.,
1364.0,1364.0,"Charles V le Sage est couronné roi de France et abandonne l’hôtel Saint-Pol dans le quartier du Marais, siège traditionnel du pouvoir, pour s’installer au Louvre qu’il fait rénover.",
1365.0,1365.0,Population de Paris estimée à 275 000 habitants.,
1368.0,1368.0,Nouveau détournement de la Bièvre qui se jette désormais dans la Seine au niveau du Château de la Tournelle. La partie de la rivière restée à Paris est transformée en égout.,
1370.0,1370.0,22 avril 1370 : Pose de la première pierre de la Bastille :,
1372.0,1372.0,"Jeanne Daubenton, membre très active des [Turlupins] est brûlée vive en place de Grève. Les Turlupins sont les héritiers des adamistes qui prêchent pour le dénuement et la nudité. Ce mouvement est excommunié cette même année par le pape Grégoire XI.",
1373.0,1373.0,Crue importante de la Seine.,
1374.0,1374.0,Crue de la Seine.,
1378.0,1378.0,Construction du pont Saint-Michel d’abord appelé pont Neuf :,
1380.0,1380.0,Fin des travaux de l’enceinte dite de Charles V qui protège 439 hectares.,
1382.0,1382.0,Révolte des Maillotins,
1383.0,1383.0,Été 1383 : Canicule.,
1386.0,1386.0,Dernier duel judiciaire entre Jean de Carrouges et Jacques Le Gris (en) à Saint Martin des Champs,
1389.0,1389.0,"20 juin, Couronnement et entrée à Paris de la reine Isabeau de Bavière",
1392.0,1392.0,"Le 13 juin, le connétable Olivier de Clisson est assassiné par Pierre de Craon à l'entrée de la rue Culture-Sainte-Catherine. Grièvement blessé, il survivra.",
1395.0,1395.0,"Autorisé depuis 1322, le travail de nuit est à nouveau strictement interdit à Paris.",
1397.0,1397.0,"22 juin 1397 : Le prévôt de Paris interdit la pratique du jeu de paume tous les jours, sauf le dimanche « parce que plusieurs gens de métier et autres du petit peuple quittaient leur ouvrage et leur famille pendant les jours ouvrables, ce qui était fort préjudiciable pour le bon ordre public ». Encore une fois, les joueurs ne tiennent aucun compte de cet interdit et des parties ont lieu tous les jours, au grand désespoir des autorités municipales.",
1405.0,1405.0,Jean sans Peur entre dans Paris et fait rendre aux bourgeois leurs armes et leurs chaînes.,
1406.0,1406.0,Les inondations emportent le pont de Planches-Mibray,
