commentaire,date,endDate,evenement,startDate
,,1252.0,Début de l’enseignement de Thomas d'Aquin à l’Université de Paris.,1252.0
,,1253.0,Fondation du collège de la Sorbonne,1253.0
,,1254.0,Les Carmes s'installent quai des Célestins,1254.0
,,1255.0,"Le greffier du Parlement, Jean de Montmartre, ouvre le premier de ses registres, les Olim.",1255.0
,,1256.0,Saint Louis établit une bibliothèque dans la Sainte-Chapelle,1256.0
,,1257.0,"1er septembre 1257. Ouverture du collège fondé par Robert de Sorbon, la Sorbonne.",1257.0
,,1258.0,Établissement des chanoines de la Sainte-Croix de la Bretonnerie et des Blancs-Manteaux,1258.0
,,1259.0,Les Chartreux vont occuper le château de Vauvert.,1259.0
,,1260.0,L'église Saint-Josse devient une paroisse,1260.0
,,1261.0,Le prévôt de Paris est désormais un simple fonctionnaire royal.,1261.0
,,1268.0,Compilation du Livre des métiers par le prévôt royal Étienne Boileau qui mentionne les statuts de cent trente-deux métiers.,1268.0
,,1270.0,Le chambellan et voyer de Paris Jean Sarrazin dresse un état des droits de sa charge en 13 articles.,1270.0
,,1280.0,Fondation du collège d'Harcourt,1280.0
,,1281.0,On commence à construire dans les environs de l'église Saint-Honoré,1281.0
,,1292.0,Apogée de l’Université de Paris qui reçoit du pape le droit d’enseigner toute la chrétienté.,1292.0
,,1296.0,Saint-Marcel et Saint-Germain-des-Prés deviennent des faubourgs de Paris,1296.0
,,1299.0,Première mention de la construction d’une horloge à Paris.,1299.0
,,1300.0,Population de Paris estimée de 250 000 à 300 000 habitants.,1300.0
,,1300.0,"Première liste des noms de rues de Paris dans Le Dit des rues de Paris par le rimeur Guillot de Paris. Ce document indique que la capitale comptait 310 rues dont 80 dans le quartier d'Outre-Petit-Pont, 36 dans la Cité et 114 dans le quartier d'Outre-Grand-Pont. Toutefois ne sont pas comprise les impasses, les rues sans chief et les rues situées hors des murailles.À cette époque, les rues de Paris, étroites, sombres, malsaines étaient sales et pour la plupart non pavées. C'était le voyer de Paris qui avait à charge la voirie de la ville.",1300.0
,,1302.0,"Réunion à Notre-Dame des premiers États Généraux, afin d’apporter un soutien au roi Philippe le Bel contre le pape Boniface VIII.",1302.0
,,1304.0,Installation des changeurs sur le Grand-Pont qui prend désormais le nom de Pont au Change.,1304.0
,,1305.0,"À la suite de travaux de réfection du Pont au Change, les changeurs peuvent exercer sur la rive attenant au Châtelet : Les changeurs, qui se contentaient jusque-là d’effectuer le change entre les diverses monnaies européennes, deviennent depuis peu des prêteurs ; on appelle ces derniers les Lombards (16 changeurs et 20 lombards en 1292).",1305.0
,,1306.0,30 décembre 1306 : Émeute contre la hausse des loyers. Le roi est même assiégé par la foule au Temple.,1306.0
,,1307.0,13 octobre 1307 : Arrestation des Templiers.,1307.0
,,1310.0,"Juin 1310 : Margueritte Porette, une illuminée originaire du Hainaut, et une juive relapse, sont brûlées vives en place de Grève.",1310.0
,,1311.0,Expulsion des usuriers lombards.,1311.0
,,1313.0,Construction du premier quai de la ville entre le couvent des Grands Augustins et l’tour de Nesle.,1313.0
,,,"19 mars 1314 : Bûcher pour les Templiers, dont Jacques de Molay, à la pointe de l’île de la Cité :",
,,1315.0,"Hiver 1315-1316 : Hiver rigoureux et long de décembre à Pâques. Grande Famine. La Seine gèle. Lors de la débâcle, les ponts de Paris sont emportés.",1315.0
,,1318.0,"Par une ordonnance royale de janvier 1318, le roi de France Philippe V le Long enjoint au greffier du Châtelet de veiller « à ce qu'une chandelle fut entretenue pendant la nuit à la porte, du palais de ce tribunal, afin de déjouer les entreprises des malfaiteurs qui se perpétuaient jusque sur la place, alors la plus fréquentée de la capitale. » Il existait deux autres éclairage à la tour de Nesle et au cimetière des Innocents, mais c'était tout.",1318.0
,,1320.0,"Décembre 1320 : Organisation définitive du parlement en trois chambres : Grand-Chambre, Chambre des enquêtes et Chambre des requêtes :",1320.0
,,1322.0,"Autorisation par le prévôt de Paris du travail de nuit, jusque-là strictement interdit",1322.0
,,1323.0,Parution du premier guide touristique de Paris de Jean de Jandun :,1323.0
,,1325.0,"En décembre, crue de la Seine qui continue en janvier",1325.0
,,1326.0,6 janvier 1326 : Hiver rigoureux et long. La Seine gèle. Les ponts de Paris sont emportés par la débâcle. Inondation très importante. L’île de la Cité est approvisionné par bateaux pendant cinq semaines.,1326.0
,,1328.0,Février 1328 : Épidémie particulièrement meurtrière.,1328.0
,,1342.0,"20 mars 1342 : Institution de la gabelle, impôt sur le sel qui suscite de très vives résistances.",1342.0
,,1345.0,"Après 182 années de travaux, la cathédrale Notre-Dame de Paris est achevée.",1345.0
,,1348.0,"Interdiction royale de balayer les rues après de fortes pluies afin de limiter le rejet des ordures à la Seine, principale source d’eau potable utilisée par les Parisiens.",1348.0
,,1349.0,"Mai 1349 : Au paroxysme de l’épidémie de peste noire, le Conseil royal quitte la ville.",1349.0
,,1350.0,Ouverture du premier égout à ciel ouvert partant de la place Baudoyer pour se déverser dans les fossés de la Bastille.,1350.0
,,,"7 juillet 1357 : Achat par Étienne Marcel, prévôt des marchands depuis 1355, de la maison aux piliers de la place de Grève afin d’y installer la municipalité.",
,,1358.0,"10 août 1358 : Après quelques exécutions de partisans d’Étienne Marcel, une amnistie est proclamée.",1358.0
,,1360.0,13 mai 1360 : Signature d’une convention entre les bourgeois de Paris et les Anglais pour le rachat de dix places fortes qui gênent les communications et le ravitaillement de la ville.,1360.0
,,1363.0,Épidémie de peste.,1360.0
,,1363.0,La paupérisation s’accentue et le nombre de mendiants errants dans les rues de Paris devient important.,1363.0
,,1364.0,"Charles V le Sage est couronné roi de France et abandonne l’hôtel Saint-Pol dans le quartier du Marais, siège traditionnel du pouvoir, pour s’installer au Louvre qu’il fait rénover.",1364.0
,,1365.0,Population de Paris estimée à 275 000 habitants.,1365.0
,,1368.0,Nouveau détournement de la Bièvre qui se jette désormais dans la Seine au niveau du Château de la Tournelle. La partie de la rivière restée à Paris est transformée en égout.,1368.0
,,1370.0,22 avril 1370 : Pose de la première pierre de la Bastille :,1370.0
,,1372.0,"Jeanne Daubenton, membre très active des [Turlupins] est brûlée vive en place de Grève. Les Turlupins sont les héritiers des adamistes qui prêchent pour le dénuement et la nudité. Ce mouvement est excommunié cette même année par le pape Grégoire XI.",1372.0
,,1373.0,Crue importante de la Seine.,1373.0
,,1374.0,"Afin de mettre un terme à l’usage du « tout à la rue », transformant les rues en véritables égouts, il est désormais obligatoire à tous les propriétaires de la ville et des faubourgs de Paris de doter leurs logements de latrines privées en nombre suffisant. Cette obligation devra être souvent renouvelée, car de nombreux propriétaires n’équipent pas leurs logements.",1374.0
,,,Crue de la Seine.,
,,1378.0,Construction du pont Saint-Michel d’abord appelé pont Neuf :,1378.0
,,1380.0,Fin des travaux de l’enceinte dite de Charles V qui protège 439 hectares.,1380.0
,,1382.0,Révolte des Maillotins,1382.0
